Semestre 4,,,,,,,
Disciplina,F1,F2,F3,F4,F5,F6,F7
Programação 4,,,,,,,
Algoritmos 2,,,,,,,
Escrita e Composição 2,,,,,,,
Redes de Computadores 2,,,,,,,
Desenvolvimento de Software 4,,,,,,,
Desenvolvimento e Operações,,,,,,,
QA 3,,,,,,,
,,,,,,,
,,,,,,,
Semestre 5,,,,,,,
Disciplina,F1,F2,F3,F4,F5,F6,F7
Programação 5,,,,,,,
Arquitetura de Software 1,,,,,,,
Introdução a Ciência de Dados e ML,,,,,,,
Desenvolvimento de Software 5,,,,,,,
Internet das Coisas,,,,,,,
Deep Learning / IA Generativa,,,,,,,
,,,,,,,
,,,,,,,
Semestre 6,,,,,,,
Disciplina,F1,F2,F3,F4,F5,F6,F7
Programação 6,,,,,,,
Arquitetura de Software 2,,,,,,,
Design de Interface e UX,,,,,,,
Desenvolvimento de Software 6,,,,,,,
Desenvolvimento Web,,,,,,,
Linguagens de Programação,,,,,,,
Administração de Sistemas,,,,,,,
,,,,,,,
,,,,,,,
Semestre 7,,,,,,,
Disciplina,F1,F2,F3,F4,F5,F6,F7
Programação 7,,,,,,,
Arquitetura de Software 3,,,,,,,
Arquitetura de Software 4,,,,,,,
Desenvolvimento de Aplicações Móveis,,,,,,,
Projetos de Software e Startups,,,,,,,